Epic,User Story,Task,Start Date,End Date,Duration (days)
Epic 1,User Story 1.1,Research Google Jobs API,5/24/2025,5/24/2025,1
Epic 1,User Story 1.1,Implement API & Fetch Data,5/24/2025,5/24/2025,2
Epic 1,User Story 1.1,Create Backend Service,5/25/2025,5/25/2025,1
Epic 1,User Story 1.1,Write Unit Tests,5/25/2025,5/25/2025,1
Epic 1,User Story 1.2,Design UI Mockups,5/26/2025,5/26/2025,1
Epic 1,User Story 1.2,Implement Map Component,5/26/2025,5/27/2025,3
Epic 1,User Story 1.2,Integrate Job Data with Pins,5/28/2025,5/28/2025,2
Epic 1,User Story 1.2,Write UI Tests,5/29/2025,5/29/2025,2
Epic 1,User Story 1.3,Implement Geolocation,5/30/2025,5/30/2025,1
Epic 1,User Story 1.3,Filtering & Highlighting,5/30/2025,5/31/2025,2
Epic 1,User Story 1.3,UI Filter Updates,5/31/2025,5/31/2025,1
Epic 1,User Story 1.3,Testing & Bug Fixes,6/1/2025,6/1/2025,1
Epic 1,User Story 1.4,Add Filter UI Controls,6/1/2025,6/1/2025,1
Epic 1,User Story 1.4,Implement Sorting Logic,6/2/2025,6/2/2025,1
Epic 1,User Story 1.4,Persist Filter Settings,6/2/2025,6/2/2025,1
Epic 2,User Story 2.1,Design Version Control Model,6/3/2025,6/3/2025,1
Epic 2,User Story 2.1,Backend Versioning Logic,6/3/2025,6/4/2025,3
Epic 2,User Story 2.1,Build Version UI,6/5/2025,6/5/2025,2
Epic 2,User Story 2.1,Unit/Integration Tests,6/6/2025,6/6/2025,2
Epic 2,User Story 2.2,Research Jobscan API,6/7/2025,6/7/2025,1
Epic 2,User Story 2.2,Implement Integration,6/7/2025,6/8/2025,2
Epic 2,User Story 2.2,UI for Template Selection,6/8/2025,6/8/2025,1
Epic 2,User Story 2.2,Testing,6/9/2025,6/9/2025,1
Epic 2,User Story 2.3,Design Recommendation Algo,6/9/2025,6/10/2025,2
Epic 2,User Story 2.3,Backend AI Service,6/10/2025,6/11/2025,3
Epic 2,User Story 2.3,UI Integration,6/12/2025,6/12/2025,2
Epic 2,User Story 2.3,Testing & Tuning,6/13/2025,6/13/2025,1
Epic 2,User Story 2.4,Design UI Mockups,6/13/2025,6/13/2025,1
Epic 2,User Story 2.4,Implement Recommendation UI,6/14/2025,6/14/2025,2
Epic 2,User Story 2.4,Connect UI Backend,6/14/2025,6/14/2025,1
